"original_path","git_status","size_bytes","action","destination"
".planning/phases/04-folders-folder-role-permissions/.gitkeep","tracked","104","archive","docs/archive/planning/2026-05-18/planning/phases/04-folders-folder-role-permissions/.gitkeep"
".planning/phases/04-folders-folder-role-permissions/04-01-PLAN.md","tracked","9546","archive","docs/archive/planning/2026-05-18/planning/phases/04-folders-folder-role-permissions/04-01-PLAN.md"
".planning/phases/04-folders-folder-role-permissions/04-01-SUMMARY.md","tracked","5483","archive","docs/archive/planning/2026-05-18/planning/phases/04-folders-folder-role-permissions/04-01-SUMMARY.md"
".planning/phases/04-folders-folder-role-permissions/04-02-PLAN.md","tracked","14154","archive","docs/archive/planning/2026-05-18/planning/phases/04-folders-folder-role-permissions/04-02-PLAN.md"
".planning/phases/04-folders-folder-role-permissions/04-02-SUMMARY.md","tracked","8357","archive","docs/archive/planning/2026-05-18/planning/phases/04-folders-folder-role-permissions/04-02-SUMMARY.md"
".planning/phases/04-folders-folder-role-permissions/04-03-PLAN.md","tracked","7526","archive","docs/archive/planning/2026-05-18/planning/phases/04-folders-folder-role-permissions/04-03-PLAN.md"
".planning/phases/04-folders-folder-role-permissions/04-03-SUMMARY.md","tracked","4852","archive","docs/archive/planning/2026-05-18/planning/phases/04-folders-folder-role-permissions/04-03-SUMMARY.md"
".planning/phases/04-folders-folder-role-permissions/04-04-PLAN.md","tracked","12225","archive","docs/archive/planning/2026-05-18/planning/phases/04-folders-folder-role-permissions/04-04-PLAN.md"
".planning/phases/04-folders-folder-role-permissions/04-04-SUMMARY.md","tracked","8804","archive","docs/archive/planning/2026-05-18/planning/phases/04-folders-folder-role-permissions/04-04-SUMMARY.md"
".planning/phases/04-folders-folder-role-permissions/04-05-PLAN.md","tracked","11016","archive","docs/archive/planning/2026-05-18/planning/phases/04-folders-folder-role-permissions/04-05-PLAN.md"
".planning/phases/04-folders-folder-role-permissions/04-05-SUMMARY.md","tracked","7205","archive","docs/archive/planning/2026-05-18/planning/phases/04-folders-folder-role-permissions/04-05-SUMMARY.md"
".planning/phases/04-folders-folder-role-permissions/04-06-PLAN.md","tracked","18177","archive","docs/archive/planning/2026-05-18/planning/phases/04-folders-folder-role-permissions/04-06-PLAN.md"
".planning/phases/04-folders-folder-role-permissions/04-06-SUMMARY.md","tracked","13866","archive","docs/archive/planning/2026-05-18/planning/phases/04-folders-folder-role-permissions/04-06-SUMMARY.md"
".planning/phases/04-folders-folder-role-permissions/04-07-PLAN.md","tracked","10360","archive","docs/archive/planning/2026-05-18/planning/phases/04-folders-folder-role-permissions/04-07-PLAN.md"
".planning/phases/04-folders-folder-role-permissions/04-07-SUMMARY.md","tracked","8307","archive","docs/archive/planning/2026-05-18/planning/phases/04-folders-folder-role-permissions/04-07-SUMMARY.md"
".planning/phases/04-folders-folder-role-permissions/04-CONTEXT.md","tracked","8367","archive","docs/archive/planning/2026-05-18/planning/phases/04-folders-folder-role-permissions/04-CONTEXT.md"
".planning/phases/04-folders-folder-role-permissions/04-RESEARCH.md","tracked","39215","archive","docs/archive/planning/2026-05-18/planning/phases/04-folders-folder-role-permissions/04-RESEARCH.md"
".planning/phases/04-folders-folder-role-permissions/CRAWL-ESTIMATE.md","tracked","7366","archive","docs/archive/planning/2026-05-18/planning/phases/04-folders-folder-role-permissions/CRAWL-ESTIMATE.md"
".planning/phases/04-folders-folder-role-permissions/PERF-GATE.md","tracked","6572","archive","docs/archive/planning/2026-05-18/planning/phases/04-folders-folder-role-permissions/PERF-GATE.md"
".planning/phases/05-ui-enrichment-waves/.gitkeep","tracked","146","archive","docs/archive/planning/2026-05-18/planning/phases/05-ui-enrichment-waves/.gitkeep"
".planning/phases/05-ui-enrichment-waves/05-CONTEXT.md","tracked","8824","archive","docs/archive/planning/2026-05-18/planning/phases/05-ui-enrichment-waves/05-CONTEXT.md"
".planning/phases/05-ui-enrichment-waves/05-RESEARCH.md","tracked","60435","archive","docs/archive/planning/2026-05-18/planning/phases/05-ui-enrichment-waves/05-RESEARCH.md"
".planning/phases/05-ui-enrichment-waves/5.1-graph-wave-PHASE4-GATE.md","tracked","2865","archive","docs/archive/planning/2026-05-18/planning/phases/05-ui-enrichment-waves/5.1-graph-wave-PHASE4-GATE.md"
".planning/phases/05-ui-enrichment-waves/5.1-graph-wave-PLAN.md","tracked","33062","archive","docs/archive/planning/2026-05-18/planning/phases/05-ui-enrichment-waves/5.1-graph-wave-PLAN.md"
".planning/phases/05-ui-enrichment-waves/5.1-graph-wave-SUMMARY.md","tracked","9664","archive","docs/archive/planning/2026-05-18/planning/phases/05-ui-enrichment-waves/5.1-graph-wave-SUMMARY.md"
".planning/phases/05-ui-enrichment-waves/5.2-list-wave-PLAN.md","tracked","22689","archive","docs/archive/planning/2026-05-18/planning/phases/05-ui-enrichment-waves/5.2-list-wave-PLAN.md"
".planning/phases/05-ui-enrichment-waves/5.3-dash-wave-PLAN.md","tracked","32162","archive","docs/archive/planning/2026-05-18/planning/phases/05-ui-enrichment-waves/5.3-dash-wave-PLAN.md"
